user_id,age,height_cm,chest_cm,waist_cm,hips_cm,shoulder_cm,style_preference,occasion,recommended_outfit,gender
U0260,11,132,58,53,75,32,Party,Function,Sweatshirt + Jeans,Kid-Female
U0747,4,139,71,65,70,33,Ethnic,Function,Frock,Kid-Female
U0881,18,115,60,52,75,32,Party,Function,Blazer + Trousers,Female
U0880,47,187,91,96,104,42,Party,Office,Blazer + Trousers,Male
U0787,42,181,108,77,96,49,Traditional,School,T-shirt + Shorts,Male
U0112,34,124,66,68,57,32,Formal,Function,Dungarees,Female
U0409,60,130,70,63,75,32,Ethnic,Function,Kurta + Pajama,Female
U0502,50,173,102,98,92,40,Casual,Wedding,Suit,Male
U0481,31,157,88,71,92,36,Formal,Function,Gown,Female
U0580,52,147,73,60,74,30,Casual,Party,Denim Jacket + Jeans,Female
U0760,26,182,93,76,101,48,Formal,Daily Wear,Denim Jacket + Jeans,Male
U0164,38,143,62,61,58,25,Ethnic,School,Sweatshirt + Jeans,Female
U0529,34,152,95,73,88,43,Party,Office,Blazer + Trousers,Female
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U1005,58,173,86,80,102,46,Traditional,School,Nehru Jacket + Kurta,Male
U0491,40,149,71,67,62,25,Formal,School,Shirt + Trousers,Male
U0755,53,130,72,65,58,25,Sporty,Party,Blazer + Trousers,Male
U0443,44,167,83,76,92,45,Ethnic,Party,Blazer + Trousers,Female
U0288,5,144,61,68,60,30,Sporty,Wedding,Sweatshirt + Jeans,Kid-Female
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0537,35,110,56,56,63,28,Ethnic,School,Sweatshirt + Jeans,Female
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0656,6,101,55,70,55,25,Formal,Function,Dungarees,Kid-Female
U0594,7,138,62,67,68,29,Party,Function,Shirt + Trousers,Kid-Male
U0952,20,190,93,100,89,41,Casual,Office,Denim Jacket + Jeans,Male
U0483,23,164,95,81,88,37,Formal,Office,Blazer + Trousers,Female
U0357,13,115,70,66,55,25,Casual,Daily Wear,Frock,Kid-Female
U0725,4,103,67,68,73,29,Sporty,Wedding,Sweatshirt + Jeans,Kid-Female
U0996,31,106,75,59,69,29,Casual,Function,Denim Jacket + Jeans,Female
U0260,11,132,58,53,75,32,Party,Function,Sweatshirt + Jeans,Kid-Female
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0698,16,121,71,60,67,25,Traditional,Daily Wear,Sweatshirt + Jeans,Kid-Female
U0836,34,124,55,54,69,33,Traditional,Daily Wear,Denim Jacket + Jeans,Female
U0771,15,123,72,52,72,28,Ethnic,Wedding,Frock,Kid-Female
U0116,18,172,101,75,100,43,Ethnic,Party,Blazer + Trousers,Male
U0404,52,147,63,59,64,29,Casual,Wedding,Suit,Female
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0619,42,163,92,96,97,49,Ethnic,Party,Blazer + Trousers,Male
U0743,22,144,58,67,57,30,Formal,Function,Sweatshirt + Jeans,Female
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0594,7,138,62,67,68,29,Party,Function,Shirt + Trousers,Kid-Male
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0833,60,122,56,70,73,33,Casual,Party,Denim Jacket + Jeans,Female
U0485,46,178,86,98,94,40,Party,Daily Wear,Denim Jacket + Jeans,Male
U0466,43,146,68,58,57,26,Party,Function,Blazer + Trousers,Female
U0594,7,138,62,67,68,29,Party,Function,Shirt + Trousers,Kid-Male
U0565,8,110,72,59,75,34,Sporty,Office,Sweatshirt + Jeans,Kid-Female
U0299,8,116,70,69,68,32,Party,Function,Sweatshirt + Jeans,Kid-Female
U0553,30,162,90,77,92,44,Traditional,Function,Saree,Female
U0631,4,138,60,55,64,32,Ethnic,School,Shirt + Trousers,Kid-Female
U0914,26,107,66,57,68,32,Formal,School,Sweatshirt + Jeans,Female
U0108,42,147,64,59,56,29,Formal,School,Dungarees,Female
U0246,3,116,57,68,69,28,Casual,Function,T-shirt + Shorts,Kid-Female
U0115,34,182,98,87,85,40,Traditional,Wedding,Suit,Male
U0758,14,103,65,50,66,30,Traditional,Office,Sweatshirt + Jeans,Kid-Female
U0078,27,160,99,82,102,38,Party,Function,Blazer + Trousers,Female
U0382,4,146,64,50,62,26,Formal,Daily Wear,Sweatshirt + Jeans,Kid-Female
U0187,41,181,86,89,100,50,Sporty,Daily Wear,Denim Jacket + Jeans,Male
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0876,50,152,87,78,88,40,Casual,Office,Denim Jacket + Jeans,Female
U0318,56,177,94,99,92,48,Casual,Office,Denim Jacket + Jeans,Male
U0806,5,102,58,68,73,35,Ethnic,Office,Sweatshirt + Jeans,Kid-Female
U0551,35,181,102,86,87,40,Traditional,Function,Track Pants + Hoodie,Male
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0556,41,105,68,51,72,25,Formal,Function,Shirt + Trousers,Male
U0357,13,115,70,66,55,25,Casual,Daily Wear,Frock,Kid-Female
U0018,16,129,62,70,63,28,Party,Wedding,T-shirt + Shorts,Kid-Female
U0758,14,103,65,50,66,30,Traditional,Office,Sweatshirt + Jeans,Kid-Female
U0905,25,183,87,92,102,48,Traditional,Daily Wear,Denim Jacket + Jeans,Male
U0645,25,177,89,82,86,45,Party,Daily Wear,Denim Jacket + Jeans,Male
U0944,58,190,108,84,92,44,Casual,Function,Denim Jacket + Jeans,Male
U0158,54,176,98,78,92,49,Sporty,Function,Kurta + Pajama,Male
U0630,60,163,85,94,94,43,Party,Office,Blazer + Trousers,Male
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0111,6,136,70,65,64,33,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0445,6,125,71,67,55,34,Casual,Function,Shirt + Trousers,Kid-Male
U0668,15,130,58,51,67,27,Ethnic,Wedding,Dungarees,Kid-Female
U0691,6,141,65,51,59,27,Traditional,Function,T-shirt + Shorts,Kid-Female
U0594,7,138,62,67,68,29,Party,Function,Shirt + Trousers,Kid-Male
U0539,9,134,70,67,75,29,Traditional,Wedding,Frock,Kid-Female
U0458,46,107,66,62,68,33,Casual,Office,Denim Jacket + Jeans,Female
U0792,59,169,91,85,94,36,Party,Daily Wear,Denim Jacket + Jeans,Female
U0498,16,138,57,53,70,31,Casual,Office,Dungarees,Kid-Female
U0822,43,175,87,65,100,35,Casual,Office,Denim Jacket + Jeans,Female
U0790,23,177,90,83,93,45,Traditional,Function,Kurta + Pajama,Male
U0770,21,190,93,98,93,46,Sporty,Daily Wear,Denim Jacket + Jeans,Male
U0728,6,100,75,61,59,27,Party,Party,Sweatshirt + Jeans,Kid-Female
U0360,43,150,98,72,103,36,Ethnic,Office,Salwar Suit,Female
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0117,58,142,72,56,70,25,Sporty,Office,T-shirt + Shorts,Female
U0566,49,108,71,51,55,25,Ethnic,Daily Wear,Denim Jacket + Jeans,Female
U0956,15,132,75,52,72,29,Formal,Office,T-shirt + Shorts,Kid-Female
U0158,54,176,98,78,92,49,Sporty,Function,Kurta + Pajama,Male
U0122,48,158,89,70,98,38,Formal,Function,Salwar Suit,Female
U0911,55,167,97,81,110,39,Ethnic,Office,Kurti + Leggings,Female
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0990,60,188,98,90,94,45,Sporty,Daily Wear,Denim Jacket + Jeans,Male
U0454,21,188,91,90,98,49,Formal,Daily Wear,Denim Jacket + Jeans,Male
U0015,12,150,71,61,72,28,Casual,Office,Sweatshirt + Jeans,Kid-Female
U0450,43,163,89,85,95,46,Party,Function,Blazer + Trousers,Male
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0184,3,121,69,56,56,25,Formal,Party,Shirt + Trousers,Kid-Male
U0018,16,129,62,70,63,28,Party,Wedding,T-shirt + Shorts,Kid-Female
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0357,13,115,70,66,55,25,Casual,Daily Wear,Frock,Kid-Female
U0286,41,169,96,69,110,35,Formal,Function,Top + Skirt,Female
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0478,19,174,98,79,89,40,Formal,Daily Wear,Denim Jacket + Jeans,Male
U0111,6,136,70,65,64,33,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0737,38,115,72,59,61,32,Ethnic,Party,Blazer + Trousers,Female
U0323,20,184,95,97,102,44,Casual,Daily Wear,Denim Jacket + Jeans,Male
U0894,42,175,86,71,108,35,Casual,School,Denim Jacket + Jeans,Female
U0348,26,177,97,81,101,43,Party,Wedding,Suit,Male
U0084,30,154,89,65,94,45,Formal,School,Top + Skirt,Female
U1083,8,134,71,59,75,28,Sporty,Daily Wear,Hoodie + Track Pants,Kid-Female
U0307,51,184,98,97,90,44,Casual,Wedding,Suit,Male
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0471,39,185,87,75,85,47,Sporty,Daily Wear,Denim Jacket + Jeans,Male
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0265,25,176,89,91,97,46,Formal,Party,Blazer + Trousers,Male
U0115,34,182,98,87,85,40,Traditional,Wedding,Suit,Male
U0406,7,133,66,69,63,33,Sporty,Function,Sweatshirt + Jeans,Kid-Female
U0527,42,173,110,88,88,50,Party,Party,Blazer + Trousers,Male
U0692,40,155,96,65,98,39,Ethnic,School,Salwar Suit,Female
U0698,16,121,71,60,67,25,Traditional,Daily Wear,Sweatshirt + Jeans,Kid-Female
U0260,11,132,58,53,75,32,Party,Function,Sweatshirt + Jeans,Kid-Female
U0430,46,131,67,66,70,26,Formal,Office,Blazer + Trousers,Female
U0631,4,138,60,55,64,32,Ethnic,School,Shirt + Trousers,Kid-Female
U0141,30,131,68,53,63,30,Formal,Wedding,Suit,Female
U1010,58,180,89,79,93,42,Formal,Daily Wear,Denim Jacket + Jeans,Male
U0340,50,143,59,50,66,32,Sporty,Daily Wear,Denim Jacket + Jeans,Male
U0189,51,161,90,69,109,43,Ethnic,Function,Kurta + Pajama,Female
U0332,39,186,95,79,105,47,Sporty,Wedding,Suit,Male
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0780,28,174,84,82,89,37,Sporty,Office,Lehenga,Female
U0845,47,175,107,89,85,46,Traditional,Wedding,Suit,Male
U0740,5,142,64,54,70,27,Casual,Function,Frock,Kid-Female
U0319,54,168,99,95,87,47,Formal,School,Kurta + Pajama,Male
U0491,40,149,71,67,62,25,Formal,School,Shirt + Trousers,Male
U1053,52,169,92,84,108,36,Sporty,Party,Blazer + Trousers,Female
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0615,55,150,92,68,86,43,Casual,Function,Denim Jacket + Jeans,Female
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0303,29,177,95,98,99,42,Formal,Function,Track Pants + Hoodie,Male
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0040,38,166,80,78,100,37,Party,Daily Wear,Denim Jacket + Jeans,Female
U0594,7,138,62,67,68,29,Party,Function,Shirt + Trousers,Kid-Male
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U1077,39,106,65,51,56,34,Party,Function,Blazer + Trousers,Female
U0656,6,101,55,70,55,25,Formal,Function,Dungarees,Kid-Female
U0934,45,106,70,66,70,29,Casual,Office,Denim Jacket + Jeans,Female
U0127,47,175,91,67,90,35,Ethnic,Party,Blazer + Trousers,Female
U0710,24,133,66,65,63,29,Sporty,Daily Wear,Denim Jacket + Jeans,Female
U0269,5,119,58,60,62,26,Sporty,Office,T-shirt + Shorts,Kid-Female
U1010,58,180,89,79,93,42,Formal,Daily Wear,Denim Jacket + Jeans,Male
U0427,7,147,68,51,66,33,Ethnic,Function,Dungarees,Kid-Female
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0316,46,124,70,67,61,33,Casual,Office,Denim Jacket + Jeans,Female
U0396,24,165,108,79,94,50,Traditional,Office,Blazer + Trousers,Male
U1047,57,163,93,73,109,41,Traditional,Office,Crop Top + Palazzo,Female
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0111,6,136,70,65,64,33,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0522,3,109,61,58,75,28,Formal,Wedding,Frock,Kid-Female
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0817,15,125,63,54,74,35,Sporty,School,Shirt + Trousers,Kid-Female
U0587,20,170,90,67,89,45,Casual,Function,Denim Jacket + Jeans,Female
U0135,53,179,106,89,87,43,Traditional,Daily Wear,Denim Jacket + Jeans,Male
U0177,14,107,62,62,73,30,Formal,Daily Wear,T-shirt + Shorts,Kid-Female
U0800,47,167,93,73,88,38,Formal,Party,Blazer + Trousers,Female
U0288,5,144,61,68,60,30,Sporty,Wedding,Sweatshirt + Jeans,Kid-Female
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0648,20,166,96,97,95,43,Party,Party,Blazer + Trousers,Male
U0260,11,132,58,53,75,32,Party,Function,Sweatshirt + Jeans,Kid-Female
U0181,23,187,100,91,99,44,Ethnic,Daily Wear,Denim Jacket + Jeans,Male
U0447,42,141,56,64,57,32,Ethnic,Party,Blazer + Trousers,Female
U0425,43,165,99,86,87,46,Ethnic,School,Blazer + Trousers,Male
U0240,60,126,55,64,73,28,Sporty,Daily Wear,Denim Jacket + Jeans,Female
U0049,38,165,93,67,86,35,Formal,Office,Blazer + Trousers,Female
U0818,27,159,90,71,109,43,Ethnic,School,Kurti + Leggings,Female
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0485,46,178,86,98,94,40,Party,Daily Wear,Denim Jacket + Jeans,Male
U0882,48,156,89,81,103,38,Party,School,Blazer + Trousers,Female
U0445,6,125,71,67,55,34,Casual,Function,Shirt + Trousers,Kid-Male
U0372,24,161,94,74,93,37,Formal,Function,Kurti + Leggings,Female
U0550,50,154,99,81,97,39,Casual,School,Denim Jacket + Jeans,Female
U0294,45,165,105,81,103,47,Sporty,School,T-shirt + Shorts,Male
U1066,51,127,63,67,58,27,Ethnic,Office,Graphic Tee + Joggers,Female
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0207,13,142,55,62,65,34,Party,Office,Sweatshirt + Jeans,Kid-Female
U0411,46,170,92,95,95,42,Ethnic,Wedding,Suit,Male
U0224,41,122,58,62,69,25,Formal,Function,Dungarees,Female
U0857,42,174,81,77,90,41,Traditional,Office,Gown,Female
U0452,18,137,75,61,57,28,Party,School,Blazer + Trousers,Female
U0728,6,100,75,61,59,27,Party,Party,Sweatshirt + Jeans,Kid-Female
U0592,23,137,65,64,73,25,Casual,Wedding,Suit,Female
U0307,51,184,98,97,90,44,Casual,Wedding,Suit,Male
U0147,30,173,106,80,97,44,Casual,Wedding,Suit,Male
U1083,8,134,71,59,75,28,Sporty,Daily Wear,Hoodie + Track Pants,Kid-Female
U0707,11,124,59,66,57,34,Ethnic,Daily Wear,T-shirt + Shorts,Kid-Female
U0287,48,150,59,50,75,33,Casual,Daily Wear,Denim Jacket + Jeans,Male
U0337,44,140,75,66,69,30,Ethnic,Function,Kurta + Pajama,Female
U0408,46,165,86,86,96,49,Traditional,Office,Track Pants + Hoodie,Male
U0198,60,160,97,83,92,45,Party,School,Blazer + Trousers,Male
U0662,7,103,61,55,72,26,Sporty,School,Shirt + Trousers,Kid-Female
U0351,47,102,62,52,64,25,Sporty,Wedding,Suit,Female
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0812,11,103,68,59,75,31,Party,Party,Sweatshirt + Jeans,Kid-Female
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
